aX,aY,aZ,gX,gY,gZ
-0.808,-0.706,-0.706,-0.007,-0.018,0.093
-0.764,-0.777,-0.777,-0.014,0.002,0.081
-0.725,-0.766,-0.766,-0.015,0.011,0.065
-0.696,-0.727,-0.727,-0.017,0.020,0.049
-0.631,-0.689,-0.689,-0.023,0.031,0.033
-0.576,-0.741,-0.741,-0.036,0.035,0.022
-0.517,-0.750,-0.750,-0.052,0.040,0.016
-0.441,-0.772,-0.772,-0.079,0.055,0.006
-0.357,-0.804,-0.804,-0.099,0.071,-0.004
-0.294,-0.825,-0.825,-0.109,0.083,-0.011
-0.269,-0.879,-0.879,-0.114,0.093,-0.026
-0.231,-0.861,-0.861,-0.117,0.106,-0.043
-0.151,-0.853,-0.853,-0.119,0.118,-0.059
-0.120,-0.804,-0.804,-0.110,0.129,-0.079
-0.047,-0.726,-0.726,-0.110,0.151,-0.084
-0.042,-0.745,-0.745,-0.116,0.172,-0.099
-0.135,-0.702,-0.702,-0.132,0.183,-0.118
-0.123,-0.608,-0.608,-0.144,0.183,-0.129
-0.139,-0.507,-0.507,-0.151,0.186,-0.136
-0.169,-0.473,-0.473,-0.144,0.190,-0.131
-0.166,-0.449,-0.449,-0.123,0.200,-0.119

-1.112,-2.200,-2.200,0.250,0.126,-0.261
-1.025,-2.052,-2.052,0.270,0.117,-0.293
-0.934,-1.903,-1.903,0.280,0.112,-0.319
-0.859,-1.771,-1.771,0.286,0.105,-0.336
-0.752,-1.680,-1.680,0.278,0.099,-0.363
-0.695,-1.548,-1.548,0.263,0.073,-0.397
-0.583,-1.404,-1.404,0.249,0.043,-0.428
-0.543,-1.352,-1.352,0.238,0.032,-0.445
-0.457,-1.232,-1.232,0.230,0.040,-0.462
-0.354,-1.183,-1.183,0.230,0.053,-0.480
-0.342,-1.089,-1.089,0.233,0.060,-0.493
-0.223,-1.016,-1.016,0.227,0.069,-0.511
-0.157,-0.916,-0.916,0.202,0.095,-0.531
-0.098,-0.860,-0.860,0.180,0.115,-0.546
0.050,-0.758,-0.758,0.152,0.136,-0.567
0.128,-0.626,-0.626,0.130,0.150,-0.581
0.112,-0.524,-0.524,0.112,0.159,-0.584
0.171,-0.448,-0.448,0.070,0.164,-0.592
0.275,-0.420,-0.420,0.028,0.176,-0.590
0.302,-0.323,-0.323,-0.003,0.184,-0.586
0.282,-0.161,-0.161,-0.065,0.186,-0.583
0.394,-0.060,-0.060,-0.153,0.179,-0.578
0.471,-0.007,-0.007,-0.216,0.183,-0.571
0.475,-0.054,-0.054,-0.280,0.198,-0.562
0.574,-0.128,-0.128,-0.315,0.210,-0.558
0.595,-0.177,-0.177,-0.333,0.218,-0.557
0.616,-0.154,-0.154,-0.336,0.231,-0.552
0.726,-0.151,-0.151,-0.341,0.241,-0.545
0.707,-0.176,-0.176,-0.350,0.246,-0.542
0.735,-0.243,-0.243,-0.361,0.247,-0.540
0.762,-0.281,-0.281,-0.352,0.239,-0.540
0.747,-0.322,-0.322,-0.310,0.229,-0.538
0.859,-0.320,-0.320,-0.272,0.230,-0.532
0.870,-0.455,-0.455,-0.217,0.237,-0.526
0.819,-0.399,-0.399,-0.164,0.219,-0.529
0.859,-0.339,-0.339,-0.142,0.209,-0.532
0.814,-0.285,-0.285,-0.137,0.205,-0.545
0.788,-0.266,-0.266,-0.147,0.194,-0.565
